time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-01-22 09:30:00-05:00,buy,new,,AB,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-22 09:30:00-05:00,buy,fill,2299.0,AB,stock,,0.0,,40.68000030517578,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-22 09:30:00-05:00,buy,new,,TEM,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-22 09:30:00-05:00,buy,fill,34.0,TEM,stock,,0.0,,66.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-22 09:30:00-05:00,buy,new,,VST,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-22 09:30:00-05:00,buy,fill,33.0,VST,stock,,0.0,,161.92999267578125,market,1,0.0,0.0,trade,,,,,,,,,,,,
