time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage,event_kind,event_id,cash_event_type,cash_event_amount,cash_event_currency,cash_event_description,cash_event_direction,cash_event_reason,is_external_cash_flow,cash_event_raw_type,cash_event_raw_subtype,cash_event_broker_name,cash_event_broker_event_id
2026-01-09 09:30:00-05:00,sell,fill,188.0,AAPL,stock,,0.0,,259.0799865722656,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,sell,fill,82.0,AMZN,stock,,0.0,,244.57000732421875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,sell,fill,52.0,NVDA,stock,,0.0,,185.0800018310547,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,buy,fill,192.0,AAPL,stock,,0.0,,259.0799865722656,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,buy,fill,81.0,AMZN,stock,,0.0,,244.57000732421875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-09 09:30:00-05:00,buy,fill,52.0,NVDA,stock,,0.0,,185.0800018310547,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,sell,fill,192.0,AAPL,stock,,0.0,,259.1600036621094,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,sell,fill,81.0,AMZN,stock,,0.0,,246.72999572753906,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,sell,fill,52.0,NVDA,stock,,0.0,,183.22000122070312,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,buy,fill,190.0,AAPL,stock,,0.0,,259.1600036621094,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,buy,fill,80.0,AMZN,stock,,0.0,,246.72999572753906,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-12 09:30:00-05:00,buy,fill,53.0,NVDA,stock,,0.0,,183.22000122070312,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,sell,fill,190.0,AAPL,stock,,0.0,,258.7200012207031,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,sell,fill,80.0,AMZN,stock,,0.0,,246.52999877929688,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,sell,fill,53.0,NVDA,stock,,0.0,,185.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,buy,fill,190.0,AAPL,stock,,0.0,,258.7200012207031,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,buy,fill,80.0,AMZN,stock,,0.0,,246.52999877929688,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-13 09:30:00-05:00,buy,fill,54.0,NVDA,stock,,0.0,,185.0,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,sell,fill,190.0,AAPL,stock,,0.0,,259.489990234375,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,sell,fill,80.0,AMZN,stock,,0.0,,241.14999389648438,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,sell,fill,54.0,NVDA,stock,,0.0,,184.32000732421875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,buy,fill,191.0,AAPL,stock,,0.0,,259.489990234375,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,buy,fill,80.0,AMZN,stock,,0.0,,241.14999389648438,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-14 09:30:00-05:00,buy,fill,53.0,NVDA,stock,,0.0,,184.32000732421875,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,sell,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,sell,fill,191.0,AAPL,stock,,0.0,,260.6499938964844,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,sell,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,sell,fill,80.0,AMZN,stock,,0.0,,239.30999755859375,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,sell,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,sell,fill,53.0,NVDA,stock,,0.0,,186.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,buy,new,,AMZN,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,buy,fill,204.0,AMZN,stock,,0.0,,239.30999755859375,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,buy,new,,NVDA,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,buy,fill,107.0,NVDA,stock,,0.0,,186.5,market,1,0.0,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,buy,new,,AAPL,stock,,0.0,,,market,1,,0.0,trade,,,,,,,,,,,,
2026-01-15 09:30:00-05:00,buy,fill,38.0,AAPL,stock,,0.0,,260.6499938964844,market,1,0.0,0.0,trade,,,,,,,,,,,,
