provider,pair,timeframe,window,expected,rows,unique_times,missing_expected,extra_times,coverage_pct,first,last,elapsed_s,requests,status,notes
coinbase,BTC/EUR,1m,2026-06-18,1440,1403,1403,37,0,97.4306,2026-06-18T00:00:00+00:00,2026-06-18T23:59:00+00:00,1.126,5,ok,
coinbase,BTC/EUR,1h,2026-06-18,24,24,24,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T23:00:00+00:00,0.192,1,ok,
coinbase,BTC/EUR,1d,2026-06-18,1,1,1,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T00:00:00+00:00,0.266,1,ok,
coinbase,BTC/EUR,1d,2016-01-01_to_2026-06-18,3822,3821,3821,1,0,99.9738,2016-01-01T00:00:00+00:00,2026-06-18T00:00:00+00:00,2.985,13,ok,
binanceus,BTC/USD,1m,2016-06-18,1440,0,0,1440,0,0.0,,,0.173,1,ok,
binanceus,BTC/USD,1h,2016-06-18,24,0,0,24,0,0.0,,,0.185,1,ok,
binanceus,BTC/USD,1d,2016-06-18,1,0,0,1,0,0.0,,,0.175,1,ok,
binanceus,BTC/USD,1m,2020-01-01,1440,1440,1440,0,0,100.0,2020-01-01T00:00:00+00:00,2020-01-01T23:59:00+00:00,0.537,2,ok,
binanceus,BTC/USD,1h,2020-01-01,24,24,24,0,0,100.0,2020-01-01T00:00:00+00:00,2020-01-01T23:00:00+00:00,0.198,1,ok,
binanceus,BTC/USD,1d,2020-01-01,1,1,1,0,0,100.0,2020-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,0.211,1,ok,
binanceus,BTC/USD,1m,2024-01-01,1440,0,0,1440,0,0.0,,,0.19,1,ok,
binanceus,BTC/USD,1h,2024-01-01,24,0,0,24,0,0.0,,,0.208,1,ok,
binanceus,BTC/USD,1d,2024-01-01,1,0,0,1,0,0.0,,,0.189,1,ok,
binanceus,BTC/USD,1m,2026-06-18,1440,1440,1440,0,0,100.0,2026-06-18T00:00:00+00:00,2026-06-18T23:59:00+00:00,0.622,2,ok,
