Datetime,Open,High,Low,Close,Volume
2021-08-23 09:30:00-04:00,303.25,303.3800048828125,303.1300964355469,303.3800048828125,907859
2021-08-23 09:31:00-04:00,303.260009765625,303.5799865722656,303.25,303.4649963378906,76620
2021-08-23 09:33:00-04:00,303.04998779296875,303.1199951171875,302.6700134277344,302.79998779296875,323975
2021-08-23 09:34:00-04:00,302.7900085449219,303.5,301.8500061035156,302.6614990234375,273866
2021-08-23 09:35:00-04:00,302.92999267578125,303.3299865722656,302.92999267578125,303.2699890136719,127448
2021-08-23 09:36:00-04:00,304.0,304.05999755859375,304.0,304.05999755859375,144122
2021-08-23 09:37:00-04:00,304.0,304.4299011230469,304.0,304.29998779296875,140511
2021-08-23 09:38:00-04:00,304.5,304.75,304.45001220703125,304.6600036621094,133030
2021-08-23 09:39:00-04:00,304.67999267578125,304.989990234375,304.67999267578125,304.8598937988281,116417
2021-08-23 09:40:00-04:00,305.0,305.3900146484375,305.0,305.1449890136719,222803
2021-08-23 09:41:00-04:00,305.0,305.0,304.8027038574219,304.8298034667969,91342
2021-08-23 09:42:00-04:00,304.75,304.7799987792969,304.75,304.7550048828125,93304
2021-08-23 09:43:00-04:00,304.5,304.5199890136719,304.35009765625,304.35009765625,100065
2021-08-23 09:44:00-04:00,304.0,304.0,303.8399963378906,303.9200134277344,126778
2021-08-23 09:45:00-04:00,304.0,304.0,304.0,304.0,117555
2021-08-23 09:46:00-04:00,304.0,304.2799987792969,303.989990234375,304.2799987792969,100928
2021-08-23 09:47:00-04:00,304.2900085449219,304.3550109863281,304.0,304.0,91395
2021-08-23 09:48:00-04:00,304.0,304.1217041015625,303.760009765625,303.8900146484375,104337
2021-08-23 09:49:00-04:00,303.92999267578125,304.0350036621094,303.68499755859375,303.7633056640625,73190
2021-08-23 09:50:00-04:00,303.25,303.29998779296875,303.0899963378906,303.135009765625,118994
2021-08-23 09:51:00-04:00,303.0,303.0,302.8599853515625,302.9223937988281,148705
2021-08-23 09:52:00-04:00,302.92999267578125,302.94000244140625,302.9100036621094,302.9200134277344,133918
2021-08-23 09:53:00-04:00,303.0,303.2755126953125,302.989990234375,303.2755126953125,101176
2021-08-23 09:54:00-04:00,303.375,303.4599914550781,303.2149963378906,303.2699890136719,69473
2021-08-23 09:55:00-04:00,303.6099853515625,303.6400146484375,303.489990234375,303.55999755859375,72638
2021-08-23 09:56:00-04:00,304.0,304.0799865722656,303.95001220703125,304.04998779296875,85615
2021-08-23 09:57:00-04:00,303.875,303.875,303.6416015625,303.6700134277344,71503
2021-08-23 09:58:00-04:00,303.75,303.80999755859375,303.5299987792969,303.6600036621094,83103
2021-08-23 09:59:00-04:00,303.67999267578125,304.010009765625,303.67999267578125,304.010009765625,81935
2021-08-23 10:00:00-04:00,304.07598876953125,304.1300048828125,303.55450439453125,303.6600036621094,85244
2021-08-23 10:01:00-04:00,303.70001220703125,304.1600036621094,303.70001220703125,304.1050109863281,60713
2021-08-23 10:02:00-04:00,304.1549987792969,304.45550537109375,304.1549987792969,304.3399963378906,71619
2021-08-23 10:03:00-04:00,304.3450012207031,304.3900146484375,304.2099914550781,304.364990234375,58093
2021-08-23 10:04:00-04:00,304.3800048828125,304.739990234375,304.3800048828125,304.7099914550781,67045
2021-08-23 10:05:00-04:00,304.7300109863281,304.8800048828125,304.59991455078125,304.59991455078125,82075
2021-08-23 10:06:00-04:00,304.55999755859375,304.7900085449219,304.4100036621094,304.4501037597656,69789
2021-08-23 10:07:00-04:00,304.4700012207031,304.7099914550781,304.3399963378906,304.69000244140625,48021
2021-08-23 10:08:00-04:00,304.67999267578125,304.7300109863281,304.4700927734375,304.639892578125,52691
2021-08-23 10:09:00-04:00,304.6499938964844,304.8699951171875,304.4100036621094,304.45001220703125,79054
2021-08-23 10:10:00-04:00,304.4599914550781,304.6299133300781,304.1000061035156,304.1300964355469,99759
2021-08-23 10:11:00-04:00,304.1400146484375,304.3599853515625,304.0299987792969,304.04998779296875,99521
2021-08-23 10:12:00-04:00,304.0400085449219,304.0799865722656,303.8110046386719,303.82000732421875,91270
