datetime,name,value,color,style,width,detail_text,plot_name,type
2025-01-07 14:10:00-05:00,SPY Value,591.27,,solid,,Value: 591.27,default_plot,line
2025-01-07 14:20:00-05:00,SPY Value,590.93,,solid,,Value: 590.93,default_plot,line
2025-01-07 14:30:00-05:00,SPY Value,591.06,,solid,,Value: 591.06,default_plot,line
2025-01-07 14:40:00-05:00,SPY Value,590.09,,solid,,Value: 590.09,default_plot,line
2025-01-07 14:50:00-05:00,SPY Value,590.04,,solid,,Value: 590.04,default_plot,line
2025-01-07 15:00:00-05:00,SPY Value,590.02,,solid,,Value: 590.02,default_plot,line
2025-01-07 15:10:00-05:00,SPY Value,589.145,,solid,,Value: 589.145,default_plot,line
2025-01-07 15:20:00-05:00,SPY Value,588.54,,solid,,Value: 588.54,default_plot,line
2025-01-07 15:30:00-05:00,SPY Value,587.82,,solid,,Value: 587.82,default_plot,line
2025-01-07 15:40:00-05:00,SPY Value,587.77,,solid,,Value: 587.77,default_plot,line
2025-01-07 15:50:00-05:00,SPY Value,588.1,,solid,,Value: 588.1,default_plot,line
