datetime,open,high,low,close,volume
2021-06-13 18:01:00,4238.5,4241.0,4238.0,4240.7464,855
2021-06-13 18:02:00,4240.7464,4241.5,4240.25,4241.2697,701
2021-06-13 18:03:00,4241.2697,4242.25,4241.0,4241.0314,407
2021-06-13 18:04:00,4241.0314,4241.5,4240.5,4241.4642,208
2021-06-13 18:05:00,4241.4642,4241.5,4240.75,4241.2551,60
2021-06-13 18:06:00,4241.2551,4241.75,4240.25,4240.7111,416
2021-06-13 18:07:00,4240.7111,4241.0,4240.25,4240.7574,156
2021-06-13 18:08:00,4240.7574,4240.7574,4240.4888,4240.4888,26
2021-06-13 18:09:00,4240.4888,4240.75,4240.232,4240.232,79
2021-06-13 18:10:00,4240.232,4240.5,4240.232,4240.457,150
2021-06-13 18:11:00,4240.457,4240.5,4239.9818,4239.9818,57
2021-06-13 18:12:00,4239.9818,4240.5,4239.75,4240.0382,157
2021-06-13 18:13:00,4240.0382,4240.25,4239.75,4240.0227,70
2021-06-13 18:14:00,4240.0227,4240.5,4240.0,4240.4705,77
2021-06-13 18:15:00,4240.4705,4240.5,4240.25,4240.4764,59
2021-06-13 18:16:00,4240.4764,4241.25,4240.4764,4241.2143,98
2021-06-13 18:17:00,4241.2143,4242.0,4241.2143,4241.7606,225
2021-06-13 18:18:00,4241.7606,4241.7606,4241.5,4241.5026,49
2021-06-13 18:19:00,4241.5026,4241.5026,4240.75,4241.0003,128
2021-06-13 18:20:00,4241.0003,4241.5,4241.0,4241.2744,35
2021-06-13 18:21:00,4241.2744,4241.2744,4241.0,4241.2674,32
2021-06-13 18:22:00,4241.2674,4241.2674,4241.0,4241.2335,51
2021-06-13 18:23:00,4241.2335,4241.25,4241.2335,4241.2341,5
2021-06-13 18:24:00,4241.2341,4241.2554,4240.75,4241.2554,60
2021-06-13 18:25:00,4241.2554,4241.2554,4240.9692,4240.9692,43
2021-06-13 18:26:00,4240.9692,4241.0,4240.9692,4240.973,3
2021-06-13 18:27:00,4240.973,4241.25,4240.75,4240.9661,20
2021-06-13 18:28:00,4240.9661,4241.0,4240.9586,4240.9586,1
2021-06-13 18:29:00,4240.9586,4241.25,4240.9586,4240.9886,33
2021-06-13 18:30:00,4240.9886,4241.0,4240.5,4240.5097,50
2021-06-13 18:31:00,4240.5097,4241.25,4240.5097,4241.2453,80
2021-06-13 18:32:00,4241.2453,4241.25,4241.0,4241.2131,60
2021-06-13 18:33:00,4241.2131,4241.25,4240.9713,4240.9713,7
2021-06-13 18:34:00,4240.9713,4241.0188,4240.9713,4241.0188,52
2021-06-13 18:35:00,4241.0188,4241.0188,4240.5,4240.5384,86
2021-06-13 18:36:00,4240.5384,4240.5384,4240.25,4240.4637,31
2021-06-13 18:37:00,4240.4637,4240.75,4240.4637,4240.476,42
2021-06-13 18:38:00,4240.476,4240.75,4240.476,4240.4881,9
2021-06-13 18:39:00,4240.4881,4240.75,4240.4881,4240.5342,3
2021-06-13 18:40:00,4240.5342,4240.75,4240.4699,4240.4699,7
2021-06-13 18:41:00,4240.4699,4240.75,4240.4699,4240.5467,42
2021-06-13 18:42:00,4240.5467,4240.5467,4240.25,4240.4934,37
2021-06-13 18:43:00,4240.4934,4240.5,4240.4561,4240.4561,2
2021-06-13 18:44:00,4240.4561,4240.75,4240.4561,4240.5456,7
2021-06-13 18:45:00,4240.5456,4240.5456,4240.4721,4240.4721,4
2021-06-13 18:46:00,4240.4721,4240.75,4240.4721,4240.7104,62
2021-06-13 18:47:00,4240.7104,4240.75,4240.5,4240.7364,34
2021-06-13 18:48:00,4240.7364,4240.7981,4240.5,4240.7981,25
