date,open,high,low,close,volume
2021-09-15 09:30:00,9.95,10.65,9.9,10.3,-1
2021-09-15 09:31:00,10.3,10.45,9.95,10.125,-1
2021-09-15 09:32:00,10.125,10.2,9.65,9.725,-1
2021-09-15 09:33:00,9.725,9.95,9.45,9.875,-1
2021-09-15 09:34:00,9.875,10.05,9.775,9.825,-1
2021-09-15 09:35:00,9.825,9.9,9.6,9.775,-1
2021-09-15 09:36:00,9.775,9.8,9.475,9.525,-1
2021-09-15 09:37:00,9.525,9.625,9.375,9.45,-1
2021-09-15 09:38:00,9.45,9.5,9.325,9.425,-1
2021-09-15 09:39:00,9.425,9.525,9.35,9.45,-1
2021-09-15 09:40:00,9.45,9.625,9.45,9.475,-1
2021-09-15 09:41:00,9.475,9.475,9.2,9.275,-1
2021-09-15 09:42:00,9.275,9.35,9.075,9.075,-1
2021-09-15 09:43:00,9.075,9.25,9.075,9.15,-1
2021-09-15 09:44:00,9.15,9.225,9.025,9.05,-1
2021-09-15 09:45:00,9.05,9.325,9.025,9.275,-1
2021-09-15 09:46:00,9.275,9.375,9.25,9.325,-1
2021-09-15 09:47:00,9.325,9.35,9.25,9.325,-1
2021-09-15 09:48:00,9.325,9.475,9.25,9.25,-1
2021-09-15 09:49:00,9.25,9.325,9.175,9.225,-1
2021-09-15 09:50:00,9.225,9.275,9.025,9.05,-1
2021-09-15 09:51:00,9.05,9.1,8.925,8.975,-1
2021-09-15 09:52:00,8.975,8.975,8.7,8.7,-1
2021-09-15 09:53:00,8.7,8.775,8.65,8.675,-1
2021-09-15 09:54:00,8.675,8.775,8.575,8.575,-1
2021-09-15 09:55:00,8.575,8.75,8.525,8.525,-1
2021-09-15 09:56:00,8.525,8.7,8.5,8.55,-1
2021-09-15 09:57:00,8.55,8.775,8.55,8.75,-1
2021-09-15 09:58:00,8.75,8.875,8.725,8.875,-1
2021-09-15 09:59:00,8.875,8.95,8.825,8.9,-1
2021-09-15 10:00:00,8.9,9.025,8.775,8.8,-1
2021-09-15 10:01:00,8.8,8.825,8.625,8.625,-1
2021-09-15 10:02:00,8.625,8.875,8.625,8.875,-1
2021-09-15 10:03:00,8.875,8.875,8.775,8.775,-1
2021-09-15 10:04:00,8.775,8.825,8.725,8.725,-1
2021-09-15 10:05:00,8.725,8.725,8.625,8.625,-1
2021-09-15 10:06:00,8.625,8.725,8.55,8.55,-1
2021-09-15 10:07:00,8.55,8.675,8.55,8.65,-1
2021-09-15 10:08:00,8.65,8.725,8.525,8.6,-1
2021-09-15 10:09:00,8.6,8.775,8.6,8.725,-1
2021-09-15 10:10:00,8.725,8.825,8.725,8.775,-1
2021-09-15 10:11:00,8.775,8.775,8.55,8.55,-1
2021-09-15 10:12:00,8.55,8.575,8.275,8.325,-1
2021-09-15 10:13:00,8.325,8.375,8.2,8.375,-1
2021-09-15 10:14:00,8.375,8.425,8.225,8.275,-1
2021-09-15 10:15:00,8.275,8.325,8.225,8.325,-1
2021-09-15 10:16:00,8.325,8.35,8.275,8.325,-1
2021-09-15 10:17:00,8.325,8.35,8.275,8.325,-1
2021-09-15 10:18:00,8.325,8.325,8.225,8.25,-1
2021-09-15 10:19:00,8.25,8.275,8.15,8.25,-1
2021-09-15 10:20:00,8.25,8.4,8.2,8.375,-1
2021-09-15 10:21:00,8.375,8.45,8.325,8.325,-1
2021-09-15 10:22:00,8.325,8.325,8.275,8.325,-1
2021-09-15 10:23:00,8.325,8.35,8.25,8.25,-1
2021-09-15 10:24:00,8.25,8.275,8.2,8.225,-1
2021-09-15 10:25:00,8.225,8.425,8.225,8.375,-1
2021-09-15 10:26:00,8.375,8.475,8.3,8.325,-1
2021-09-15 10:27:00,8.325,8.375,8.3,8.325,-1
2021-09-15 10:28:00,8.325,8.375,8.225,8.25,-1
2021-09-15 10:29:00,8.25,8.25,8.05,8.175,-1
2021-09-15 10:30:00,8.175,8.275,8.1,8.25,-1
2021-09-15 10:31:00,8.25,8.325,8.2,8.225,-1
2021-09-15 10:32:00,8.225,8.25,8.1,8.125,-1
2021-09-15 10:33:00,8.125,8.125,7.95,8.025,-1
2021-09-15 10:34:00,8.025,8.2,8.025,8.175,-1
2021-09-15 10:35:00,8.175,8.35,8.175,8.325,-1
2021-09-15 10:36:00,8.325,8.325,8.225,8.325,-1
2021-09-15 10:37:00,8.325,8.425,8.3,8.4,-1
2021-09-15 10:38:00,8.4,8.5,8.4,8.475,-1
2021-09-15 10:39:00,8.475,8.5,8.375,8.425,-1
2021-09-15 10:40:00,8.425,8.425,8.325,8.325,-1
2021-09-15 10:41:00,8.325,8.475,8.325,8.475,-1
2021-09-15 10:42:00,8.475,8.475,8.25,8.3,-1
2021-09-15 10:43:00,8.3,8.35,8.175,8.225,-1
2021-09-15 10:44:00,8.225,8.325,8.225,8.3,-1
2021-09-15 10:45:00,8.3,8.475,8.3,8.425,-1
2021-09-15 10:46:00,8.425,8.475,8.325,8.475,-1
2021-09-15 10:47:00,8.475,8.5,8.425,8.475,-1
2021-09-15 10:48:00,8.475,8.575,8.45,8.55,-1
2021-09-15 10:49:00,8.55,8.55,8.475,8.475,-1
2021-09-15 10:50:00,8.475,8.55,8.475,8.5,-1
2021-09-15 10:51:00,8.5,8.525,8.425,8.475,-1
2021-09-15 10:52:00,8.475,8.525,8.475,8.475,-1
2021-09-15 10:53:00,8.475,8.575,8.475,8.525,-1
2021-09-15 10:54:00,8.525,8.55,8.425,8.425,-1
2021-09-15 10:55:00,8.425,8.475,8.4,8.475,-1
2021-09-15 10:56:00,8.475,8.575,8.45,8.525,-1
2021-09-15 10:57:00,8.525,8.675,8.475,8.675,-1
2021-09-15 10:58:00,8.675,8.675,8.6,8.625,-1
2021-09-15 10:59:00,8.625,8.675,8.625,8.675,-1
2021-09-15 11:00:00,8.675,8.7,8.575,8.675,-1
2021-09-15 11:01:00,8.675,8.675,8.525,8.625,-1
2021-09-15 11:02:00,8.625,8.675,8.575,8.65,-1
2021-09-15 11:03:00,8.65,8.725,8.65,8.7,-1
2021-09-15 11:04:00,8.7,8.775,8.675,8.775,-1
2021-09-15 11:05:00,8.775,8.775,8.7,8.75,-1
2021-09-15 11:06:00,8.75,8.8,8.725,8.725,-1
2021-09-15 11:07:00,8.725,8.725,8.675,8.725,-1
2021-09-15 11:08:00,8.725,8.8,8.725,8.8,-1
2021-09-15 11:09:00,8.8,8.825,8.725,8.725,-1
2021-09-15 11:10:00,8.725,8.775,8.7,8.7,-1
2021-09-15 11:11:00,8.7,8.725,8.625,8.625,-1
2021-09-15 11:12:00,8.625,8.725,8.625,8.675,-1
2021-09-15 11:13:00,8.675,8.7,8.6,8.625,-1
2021-09-15 11:14:00,8.625,8.65,8.575,8.575,-1
