Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-01-02,121.3499984741211,121.75,120.87999725341797,121.33000183105469,121.33000183105469,12776200,0,0
2019-01-03,121.77999877929688,122.45999908447266,121.7300033569336,122.43000030517578,122.43000030517578,15440800,0,0
2019-01-04,121.31999969482422,121.5999984741211,120.69000244140625,121.44000244140625,121.44000244140625,13334000,0,0
2019-01-07,122.16000366210938,122.22000122070312,121.56999969482422,121.86000061035156,121.86000061035156,7473600,0,0
2019-01-08,121.1500015258789,121.70999908447266,121.05999755859375,121.52999877929688,121.52999877929688,7643100,0,0
2019-01-09,121.44999694824219,122.33999633789062,121.44000244140625,122.30999755859375,122.30999755859375,10555900,0,0
2019-01-10,121.9800033569336,122.18000030517578,121.56999969482422,121.58999633789062,121.58999633789062,6672000,0,0
2019-01-11,121.73999786376953,122.05000305175781,121.66000366210938,121.80000305175781,121.80000305175781,8622400,0,0
2019-01-14,122.1500015258789,122.23999786376953,121.87000274658203,122.08999633789062,122.08999633789062,6477100,0,0
2019-01-15,122.27999877929688,122.37999725341797,121.62000274658203,121.87999725341797,121.87999725341797,7512500,0,0
2019-01-16,122.04000091552734,122.44000244140625,122.0199966430664,122.2699966430664,122.2699966430664,6878100,0,0
2019-01-17,122.02999877929688,122.26000213623047,121.80999755859375,122.11000061035156,122.11000061035156,8558500,0,0
2019-01-18,121.2300033569336,121.5199966430664,121.0199966430664,121.0199966430664,121.0199966430664,10896000,0,0
2019-01-22,121.18000030517578,121.5,120.9000015258789,121.44999694824219,121.44999694824219,7896500,0,0
2019-01-23,120.95999908447266,121.54000091552734,120.86000061035156,121.27999877929688,121.27999877929688,5224900,0,0
2019-01-24,121.16000366210938,121.36000061035156,120.91999816894531,121.08999633789062,121.08999633789062,5662500,0,0
2019-01-25,122.0199966430664,122.91000366210938,122.0199966430664,122.86000061035156,122.86000061035156,11103300,0,0
2019-01-28,122.75,123.29000091552734,122.72000122070312,123.29000091552734,123.29000091552734,8522200,0,0
2019-01-29,123.70999908447266,124.0,123.45999908447266,123.9800033569336,123.9800033569336,11610200,0,0
2019-01-30,123.91000366210938,125.06999969482422,123.69999694824219,124.69000244140625,124.69000244140625,12104000,0,0
2019-01-31,125.18000030517578,125.2300033569336,124.62000274658203,124.75,124.75,10209500,0,0
2019-02-01,124.88999938964844,125.05000305175781,124.37000274658203,124.5,124.5,12485500,0,0
2019-02-04,123.98999786376953,124.29000091552734,123.81999969482422,123.95999908447266,123.95999908447266,6878900,0,0
2019-02-05,124.29000091552734,124.41999816894531,124.05000305175781,124.27999877929688,124.27999877929688,6291100,0,0
2019-02-06,124.16000366210938,124.19000244140625,123.4000015258789,123.44000244140625,123.44000244140625,6595100,0,0
2019-02-07,123.80000305175781,123.94999694824219,123.44000244140625,123.73999786376953,123.73999786376953,5935500,0,0
2019-02-08,124.05000305175781,124.33000183105469,123.9800033569336,124.20999908447266,124.20999908447266,4235200,0,0
2019-02-11,123.19000244140625,123.81999969482422,123.19000244140625,123.5999984741211,123.5999984741211,4821800,0,0
2019-02-12,123.95999908447266,124.02999877929688,123.61000061035156,123.86000061035156,123.86000061035156,4271900,0,0
